epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,369.133,0.5263,0.50228,1,1.71123,0.0033321,0.0033321,0.0033321
2,710.89,0.36923,0.51041,1,1.64209,0.0063355,0.0063355,0.0063355
3,1047.43,0.35976,0.50548,1,2.40929,0.00900889,0.00900889,0.00900889
4,1383.74,0.36293,0.50511,1,2.60851,0.008515,0.008515,0.008515
5,1731.3,0.32521,0.50822,1,2.58828,0.00802,0.00802,0.00802
6,2076.94,0.30385,0.50593,1,2.8899,0.007525,0.007525,0.007525
7,3488.34,0.28974,0.50438,1,3.11645,0.00703,0.00703,0.00703
